text,label
saya bangun kemarin senin pagi merasa sedikit tertekan,kesedihan
saya merasa sangat malu,kesedihan
saya menghabiskan waktu berkeliaran di sekitar masih agak bingung dan tidak merasa sangat ramah tetapi karena saya telah bersembunyi selama beberapa hari dan itu menjadi sedikit tidak sehat, saya membuat diri saya turun ke salib dan bergaul dengan orang-orang, sukacita
Saya dapat dengan jujur ​​mengatakan bahwa setelah setiap obrolan sistah saya merasa disegarkan dan diberkati,kegembiraan
Saya masih merasa bodoh berada di kelas itu, ini semua karena kesalahan pbss,kesedihan
Saya merasa sedikit tercengang tetapi tidak dapat membayangkan apa yang dirasakan oleh orang-orang yang bekerja di studio sampai pagi ini, terkejut
saya akui saya merasa sedikit tidak dicintai pada saat ini,kesedihan
Saya merasa sedikit stres meskipun semua hal yang saya alami menyenangkan,kemarahan
saya merasa sangat cemas,ketakutan
saya merasa kaget dan sedih melihat kenyataan bahwa ada begitu banyak orang sakit,kejutan
saya pikir mereka selalu menjadi pendukung gagasan itu dan hanya sedikit mungkin bahwa perasaannya terhadap seorang gadis Inggris baru yang sangat menawan telah membawanya ke cara berpikir mereka,kegembiraan
saya merasa seperti gadis sekolah yang nakal karena saya tertinggal,cinta
saya kidal tetapi saya bermain biliar dengan tangan kiri secara alami jadi saya mencoba bermain dengan tangan kanan terasa aneh,kejutan
saya bisa merasakan bahwa mereka baik hati dan bisa mengerti perasaan saya,kegembiraan
saya pergi ke luar negeri atau melintasi perbatasan kemudian saya menjadi orang asing dan akan merasa seperti itu tetapi tidak pernah di tanah yang saya cintai,cinta
saya merasa jijik pada setiap orang yang berkuasa yang berbicara tentang listrik menjadi masalah di daerahnya dan mengatakan bahkan rumah saya sendiri memiliki masalah yang sama,kemarahan
saya merasa transenden dan luar biasa,kegembiraan
saya akhirnya tiba di rumah beberapa jam kemudian merasa agak lelah dehidrasi dan bahkan terbakar matahari,kesedihan
saya merasa benar-benar santai dan nyaman,kegembiraan
Saya ingin Anda masing-masing merasakan pelukan lembut saya,cinta
saya merasa istimewa di dunia saya,kegembiraan world
saya bukan orang biasa tetapi untuk beberapa alasan sial orang merasa bahwa mereka bisa membuat saya bosan dengan sampah kecil mereka, kemarahan
saya menyadari kesalahan saya dan saya benar-benar merasa tidak enak dan berpikir bahwa saya tidak boleh melakukan itu,kesedihan
saya kira saya merasa terlalu percaya kadang-kadang, sukacita
saya pulang menunggu mandi membaca sesuatu yang membuat saya kesal itu sebabnya saya merasa tidak puas haha,kesedihan
saya terbangun dengan perasaan sangat lelah dan melawan perasaan ini sepanjang hari mungkin itu semua serbuk sari tekanan barometrik saya tidak tahu saya tahu saya tidak tenang, kesedihan
saya merasa seperti berada di surga mencium bibir manis itu membuat saya merasa seperti saya menyelam ke dalam dunia cinta yang ajaib,kegembiraan
saya merasa sangat senang, senang
saya berlari dengan kecepatan kira-kira satu menit yang saya rasa cukup dapat diterima,kegembiraan
saya merasa sangat kecewa ketika mantan pacar saya tidak menelepon saya kembali,kesedihan
saya memiliki perasaan bahwa orang-orang menggunakannya lebih dari yang mereka butuhkan dan menikmati perasaan itu saat ia terbang tanpa beban dari lidah, tetapi itu tidak masalah bagi saya,kegembiraan
saya merasa tidak yakin akan manfaat memposting ke blog ini dengan frekuensi atau kesungguhan yang saya alami selama setahun sebelumnya,ketakutan
saya hanya merasa iri dengan kepercayaan diri yang mereka miliki, kemarahan
saya merasa aneh beberapa hari yang lalu dan itu hilang sekitar beberapa menit setelah saya menggunakan metformin,ketakutan
ketika seorang teman menjatuhkan katak di leherku,kemarahanan
saya merasa marah pada seseorang saya melakukan sesuatu yang bijaksana untuknya dan perasaan saya terhadapnya melunak,kemarahan
saya suka mengabaikan blog ini tetapi terkadang saya merasa untuk pembaca setia saya,cinta
Saya berbaring di tempat tidur dengan perasaan seolah-olah saya sedang menunggu pengunjung yang tidak diinginkan, tetapi saya berkata pada diri sendiri bahwa saya kuat dan memikirkan hal-hal baik sampai saya merasa lebih baik, kesedihan
saya merasa hati saya tersiksa oleh apa yang telah saya lakukan,kemarahan
saya masih merasa menangis dan tegang jadi maggie mentraktir saya es krim dan film a href http www,kesedihan
saya merasa membutuhkan tapi nyaman dengan itu saya merasa rentan tapi aman saya merasakan dorongan untuk cum keras tapi saya tidak mendapatkan kelegaan, kesedihan
Saya menulis jurnal tentang kecenderungan saya untuk terkadang terlalu memaksakan diri yang dapat membuat saya merasa lelah dan kewalahan,kesedihan
saya mulai merasa putus asa pagi ini, kesedihan
Saya merasa gelisah dengan diri saya sendiri bahwa saya tidak melihat frustrasinya sebelumnya yang mengarah pada berakhirnya hubungan kami,ketakutan
saya mengambilnya dari udara, bingkainya yang halus terasa dingin saat disentuh,kemarahan
saya marah pada pacar saya yang telah berjanji untuk datang menemui saya tetapi tidak karena dia menghabiskan malam dengan teman-temannya,kemarahan
saya benci bahwa saya duduk di sini di asrama menulis ini dan merasa sangat baik-baik saja dan daripada saya pulang dan itu saya dan masalah saya dan dinding,kegembiraan
saya berolahraga saya merasa energik dan saya dapat melakukan tugas saya yang lain dengan cara yang sangat baik,kegembiraanjo
saya melihat mabel pagi ini saya menamai payudara kiri saya mabel yang kanan saya adalah hazel dan saya merasakan campuran aneh dari kemarahan dan kehilangan valerie menulis kurang dari sebulan setelah diagnosisnya,ketakutan
saya merasa sangat berkecil hati dengan semuanya, kesedihan
Saya merasa masukan dari saya akan dinilai kurang ampuh dibanding yang dikatakan irfan pathan,kegembiraan
saya merasa dia murah hati,cinta
saya bahkan merasa sedikit gemetar,ketakutanfe
saya merasa lebih baik meskipun saya tidak mendengarnya,kegembiraan
saya selalu merasa bermasalah ketika kami berada di jalan touring tinggal di van atau baru-baru ini di bus sirkus tidak ada tempat untuk menggantung topi saya seperti lirik lagu itu,kesedihan
saya merasa dunia kita saat itu adalah tempat yang jauh lebih polos,kegembiraan
saya merasa benar-benar berbudi luhur bahkan jika perjalanan sehari-hari ke tempat sampah kompos bukanlah pengalaman yang paling menyenangkan,kegembiraan
saya tidak merasakan sesuatu yang mencurigakan kok,ketakutan
saya merasa sedikit sentimental hari ini,kesedihan
saya merasa seperti saya tahu siapa kebanyakan dari mereka sekarang dan saya mulai mengembangkan suka dan tidak suka saya meskipun saya belum tertarik pada penggusuran cepat, mereka tampaknya tidak ada gunanya yang pertama kembali dan dua rekan web sama sekali tidak berdampak apa-apa pada saya sehingga mereka tidak akan dilewatkan,kegembiraan
saya merasa kurang merengek sejak matahari terbit di sini di area sf,kesedihan
membuat teman baru yang luar biasa,kegembiraan
saya merasa hampir malu untuk menyebutkan satu-satunya kendi merah dan kendi biasa tetapi ada lagi siapa yang tidak mau menyebutkan satu-satunya kendi kayu yang ada di tepi perairan,kesedihan
Saya tahu mudah untuk merasa sedikit iri pada saya dan saya tidak dapat memberi tahu Anda bahwa Anda tidak boleh marah
saya akan merasa tidak enak jika dia ada di sini selama ini,kesedihan
saya merasa sangat disesatkan oleh seseorang yang saya pikir saya sangat kenal dan sangat saya sukai,cinta
saya merasa seperti kita ditakdirkan untuk kita manusia, kesedihan
saya harus memeriksa hanya dalam beberapa menit tetapi ada jam ini di atas layar yang terus berdetak di menit yang tersisa jadi saya merasa sedikit panik,ketakutan
saya tidur tetapi jika saya bisa memilih untuk tidak dibangunkan oleh alarm id pasti mengambil alih apa pun itu membuat saya merasa sangat pusing,kesedihan
sudah membosankan selama beberapa minggu dan merasa sedikit suram karena hari-hari hujan, kesedihan
Saya merasa bahwa informasi ini sangat penting untuk melanjutkan hari Anda dan Anda tidak akan lengkap sampai Anda membacanya,kegembiraan
saya merasa murah hati hari ini, ini satu lagi yang mungkin sudah Anda lihat tetapi bagus untuk tertawa,cinta
saya akan merasa canggung hanya memanggil salah satu dari orang-orang ini tiba-tiba untuk hang out atau lebih tepatnya untuk mengenal mereka pada tingkat yang lebih dalam mereka bukan saudara dan kerabat saya,kesedihan
saya tidak suka perasaan yang saya dapatkan ketika seseorang bahkan sedikit tersinggung oleh beberapa komentar yang saya buat, kemarahan
saya mendapatkannya hancur tetapi terima kasih telah merasa perlu untuk memberi tahu saya bahwa sayalah yang kacau,kemarahan
saya mengendalikan pertumbuhan bisnis ini dan setiap kali saya memposting pekerjaan untuk klien, saya merasa lebih bertekad untuk menjadikannya bisnis penuh waktu suatu hari nanti,kegembiraan
saya hamil dengan dekan saya menghabiskan sisa kehamilan saya merasa takut memiliki bayi lagi,ketakutan
saya benar-benar merasa gelisah yang menyebabkan hari yang mengerikan kemarin di mana saya tidak dapat berkonsentrasi pada apa pun dan pada dasarnya mengacaukan hari itu,kemarahan
saya punya ed saya akan memberitahu Anda bahwa saya tahu saya seharusnya tidak merasa malu makan protein bar untuk sarapan dan fakta bahwa saya makan satu tidak apa yang membuat saya malu itu fakta saya tidak membuatnya adalah apa yang membuat saya menggantung kepala saya dan ekor tuck,kesedihan
saya merasa berseri-seri cerah tercapai dan bahagia,kegembiraan
saya merasakan magnet kulkas yang sangat populer beberapa tahun yang lalu,kegembiraan
saya merasa sangat kehilangan sentuhan dengan semua yang telah terjadi,kesedihan
saya merasa khawatir tentang hal itu tetapi juga sangat bersemangat,ketakutan
saya merasa cukup santai saat saya menaiki airbus yang tampak sangat baru dan menuju ke langit berkabut dalam perjalanan ke honolulu,kegembiraan
saya orangnya pendiam tapi apa yang harus saya katakan menurut saya penting,kegembiraan
saya pikir saya mulai merasa sedikit rindu kampung halaman,kesedihan
saya merasa bersemangat untuk mulai melakukan beberapa pekerjaan pria yang bekerja di sana benar-benar mengatakan jadi uhm kalian ingin masuk kembali dan melihat apakah kita dapat menemukan sesuatu untuk dilakukan,kegembiraan
saya merasa tidak nyaman karena saya memiliki tulang rusuk yang lebih kecil dan dada yang lebih besar baik saya tumpah di atas tangki atau penyangga karet gelang terlalu ketat atau terlalu longgar,ketakutan
saya merasa enggan untuk keluar dari apartemen saya yang baru dibersihkan yang saya bersihkan tadi malam,ketakutan
saya merasa bahwa saya perlu tahu bahwa saya dapat bergantung pada diri saya sendiri sebelum saya menempatkan diri pada posisi mendukung orang lain dan didukung oleh orang lain,cinta
saya merasa agak gelisah dan lesu,kesedihan
saya mencoba yang terbaik untuk mencintai mereka menjelaskan beberapa tetapi saya merasa sangat berbelas kasih dengan masalah mereka dan terluka bahkan jika seseorang di media,cinta
Saya sangat tidak nyaman dan merasakan perasaan aneh tetapi tidak yakin apakah itu kontraksi karena saya tidak pernah benar-benar merasakan kontraksi dengan jared sampai mereka mendongkrak saya dengan pitocin,kejutan
saya merasa murung dan lelah,kesedihan
saya sangat suka orang ini merasa bahwa pertanyaan itu benar-benar diajukan dari tempat cinta dan kepedulian yang tulus tentang bagaimana bergerak maju mengingat apa yang baru-baru ini dipelajari oleh studi seksualitas a href http www,kegembiraan
Saya akan memaksakan diri untuk makan makanan bersih rutin saya sehari tetapi kemudian saya mulai merasa sangat tidak enak,kesedihan
Saya merasa agak terhormat telah menyaksikan pria hebat itu beraksi. Sangat tidak mungkin bagi seorang pemula seperti saya untuk mengetahui siapa salah satu dari empat pengendara yang tampak identik itu,kegembiraan
saya merasa seperti saya di spa mendapatkan wajah yang indah ketika saya menggunakannya,kegembiraan
saya merasa kecil tiba-tiba,kemarahan
saya harap Anda menyukai posting blog mentah amp yang lebih jujur ​​ini amp jika Anda merasa tidak bahagia, saya harap ini membuat Anda tidak merasa sendirian, kesedihan
saya merasa sedikit jijik juga,kemarahan
saya cukup terkejut dengan cuaca beberapa hari terakhir ini tetapi saya sangat bersyukur untuk itu karena saya masih bisa memakai celana pendek saya tanpa merasa dingin ya tidak bercanda,kemarahan
saya merasa sedikit santai menjadi,kegembiraan
saya merasa malu untuk mengakui bahwa saya sedang berjuang untuk mengangkat satu komputer,ketakutan
saya baru saja mengerjakan skrip saya apakah Anda ingin mustard atau saus dengan itu dan mulai merasa sangat terkejut,ketakutan
saya menikmati rekan-rekan saya saya tidak merasa sangat ramah hari ini,kegembiraan
saya merasa dan jika saya suka hamil,cinta
saya kemudian merasakan sentuhan lembut Anda saat Anda memeluk saya dengan cintanya,cinta
saya kehilangan beberapa orang yang saya benci karena saya memiliki waktu yang sangat sulit untuk melepaskan orang yang saya rasa setia,cinta
Saya tidak tertarik sama sekali untuk melakukan upaya apa pun untuk bertemu pria dan ketika ada kesempatan, saya kemudian merasa terbebani dengan pikiran negatif tentang dia hanya akan menjadi idiot lain hanya setelah satu hal, kesedihan
saya merasa saya juga mendukungnya secara nutrisi,cinta
saya merasa tidak sabar saya baru saja memposting entri blog dan saya merasa telah menulis beberapa kata dan keluar ke dunia, kemarahan
saya berusaha sekuat tenaga sehingga saya bisa sampai ke tempat di mana saya bisa bergabung dengan Anda dan akhirnya merasa seperti saya memiliki sesuatu yang berharga untuk dikatakan, sukacita
harus saya akui saya merasa geli ketika saya melihat pti jamiat dan banyak lainnya di media mencoba untuk menghindari saran bahwa mereka sebenarnya memprotes penggunaan syariah dalam kasus pembebasan raymond davis,kegembiraan
saya merasa malu bahwa itu menjadi sangat buruk, kesedihan
saya merasa sangat pahit tentang yang satu ini,kemarahan
saya merasa berani hari ini menuju amman dan beirut melalui istanbul atau saya merasa berani hari ini a href http jessicadickinsongoodman,kegembiraan
saya mengalami natal yang luar biasa dan tahun baru yang luar biasa bersama keluarga dan teman-teman saya dan melawan segala rintangan saya merasa sangat optimis tentang,kegembiraan
saya merasa seperti pecundang semua orang mengatakan mereka kalah tapi saya tidak tahu persis di mana saya saya hanya benci berada di sini oh,kesedihan
saya merasa kalah tapi yang lain saya merasa segar,kesedihan
saya merasa sangat rentan di area tertentu jadi saya mulai berbicara dengan teman-teman saya dan cukup menarik ada pemahaman yang luar biasa tentang perjuangan saya,ketakutan
saya pergi ke halaman peringatan petugas dan merenungkan perasaan saya tentang petugas yang luar biasa itu yang tampaknya membuat saya merasa sedikit lebih baik,kegembiraan
saya dengan sekelompok orang saya masih merasa terisolasi dan di luar melihat ke dalam,kesedihan
saya merasa diberkati untuk mengenal keluarga ini,cinta
saya merasa takut karena pemilik saya belum mengganti kunci kami,ketakutanfe
saya merugi tapi saya merasa memiliki banyak hal untuk dibagikan kepada banyak orang dan jika ada sesuatu yang tidak disayangkan jika ada hal itu membuat saya bersyukur,kesedihan
saya tidak suka makan makanan yang terasa terlalu bajik,kegembiraan
saya pergi dengan perasaan sangat senang atas kesempatan untuk setidaknya melemparkan nama saya ke dalam topi,kegembiraan
saya merasa agak aneh ketika andrea mencoba berbicara dengan saya tentang chris,ketakutan
Saya suka tentang ellie adalah bahwa dia tidak merasa terhina oleh semua hal-hal kasar yang dikatakan lothaire kepadanya karena menurut ellie, penghinaan hanya menyakitkan ketika itu berasal dari seseorang yang Anda hormati, kemarahan
saya merasa cukup menang,kegembiraan
saya menikmati kurungan isolasi saya di rumah saya jarang merasa kesepian,kesedihan
saya terlalu dramatis tetapi saya merasa sangat kuat untuknya dan saya memutuskan untuk berbicara dengannya pada kesempatan berikutnya yang saya dapatkan,kegembiraan
saya sangat tidak suka quinn karena saya merasa dia hanya akan menyakiti barney dan saya benci alur cerita ted robin yang lumpuh, kemarahan
saya merasa sangat buruk tetapi saya seharusnya tidak fokus pada saya sekarang, kesedihan
saya tidak ingat pernah merasa sangat lelah sehingga butuh perjalanan dengan mobil pada hari terakhir untuk membawa semuanya ke trailer, kesedihan
saya menulis dua tahun yang lalu begitu banyak hal yang saya merasa tidak yakin mungkin,ketakutan
saya merasa curiga terhadap informalitas dan kurangnya kredensial,ketakutan
saya terima setiap bulan membuat saya bangga dan merasa menghargai,kegembiraan
Saya merasa bahwa situasi ketiga cukup meringkas perasaan saya terhadap judul ini,kegembiraan
saya ingin merasakannya di tangan saya dan mengulurkan tangan untuk membawanya ke mulut saya yang menunggu,kegembiraan
saya merasa lebih lembut seperti itu dengan,cinta
saya sampai di rumah merasa panas lelah dan hebat,cinta
saya merasa lebih kreatif,kegembiraan
saya merasa sangat berbakat saya bisa menggunakan komputer,kegembiraan
saya merasa sangat kaya karena memiliki kehamilan yang sehat sejauh ini,kegembiraan
saya ingin tahu apakah saya harus bersimpati terhadap maskapai amerika jika mengatakan pesawat mereka terbakar atau pilot mereka meledak atau apakah saya ingin membakar mereka jika mengatakan mereka baru saja memutuskan untuk menjalankan kewajiban mereka untuk menghemat uang,cinta
saya tidak ingin mereka merasa begitu tertekan,ketakutan
saya masih merasa takut pada dunia namun tidak ada tempat di dekat saya seperti dulu,ketakutan
saya tidak merasa mellow,kegembiraan
saya bangun terlalu pagi jadi saya merasa marah,kemarahan
saya percaya kalian semua akan datang ke tempat kerja saya dan hanya mencoba membuat saya merasa terhina tapi kalian tahu apa yang jauh di lubuk hati saya, saya tahu siapa yang seharusnya malu pada diri mereka sendiri,kesedihan
saya akhirnya mendapatkannya jika Anda tidak tertawa membuat saya merasa senang kelelahan dan sangat istimewa,kegembiraan
saya mengingat ini saya merasa skeptis,ketakutan
saya memiliki beberapa tujuan yang cukup berani dan setiap hari saya merasa lebih kuat dan lebih percaya diri bahwa saya akan mencapai hasil akhir yang saya inginkan,kegembiraan
saya merasa kotor berbicara dengan orang untuk keuntungan pribadi saya, kesedihan,
saya duduk di sana dengan dingin, saya mengingat kembali pergi ke hockey city classic dan cuacanya dan rasanya sama dinginnya meskipun ada perbedaan derajat malam ini,kemarahan
saya merasa mati rasa saat saya melanjutkan dan saya bertanya-tanya apakah saya akan mengatasinya, kesedihanad
saya agak dipaksa ke dalam ulasan blog ini jadi saya merasa sedikit terburu-buru dan bingung,kemarahan
Saya kira saya tidak akan merasa terlalu cemburu karena saya sering melakukan ibu saya di kolam renang tetapi senang memiliki suami lagi,kemarahan
saya tidak yakin bagaimana perasaan saya tentang perlunya berolahraga untuk mempertahankan sikap yang menyenangkan,kegembiraan
saya merasa khawatir,ketakutan
Saya pikir saya ingin penonton merasa terkesan terinspirasi atau terhibur ketika saya berada di atas panggung,kejutan
saya tidak enak badan kemarin pagi sore jadi saya hanya berbaring di tempat tidur dan berakhir di lubang hitam youtube yang terlalu akrab,kegembiraan
Saya memiliki perasaan yang mengerikan sehingga saya mendorong diri saya untuk menjadi lebih berbakat daripada saya,kegembiraan
saya mengambil tantangan setengah maraton maka saya akan menunggu dan melihat bagaimana perasaan tubuh apakah akan ada upaya pb atau shuffle kilometer santai,kegembiraan
saya tidak bisa tidak merasa kesal di kedua sisi perdebatan dan dikotomi yang tidak perlu itu sendiri, kemarahan
Saya merasa seperti saya tidak dapat dihormati jika saya memiliki harga diri karena begitu biasa untuk sekarang membenci diri sendiri, sukacita
Aku tersenyum padanya merasakan kerinduannya dan berkata mungkin nanti sobat tapi aku harus membuat makan siang sekarang,cinta
saya sangat disayangkan sebagian besar waktu saya biasanya lelah tetapi saya sulit untuk bangun dari tempat tidur saya merasa gelisah dan lain-lain,ketakutan
saya merasa agak rusak,kesedihan
saya bilang saya merasa jelek hari ini,kesedihan
saya meninggalkan garmin saya di sepeda saya jadi saya harus melakukan ini dengan merasa keluar dari transisi sorak-sorai pendengarannya yang luar biasa dan adrenalin Anda menjadi gila,kegembiraan
saya merasa sangat pintar ketika saya menemukan cara untuk menipu diri sendiri seperti ini,kegembiraanjo
saya suka menari tetapi sering merasa terhambat oleh tubuh saya sendiri tidak yakin apa yang saya mampu sangat khawatir tentang orang lain yang memperhatikan saya dan memiliki pendapat tentang gaya saya atau hanya merasa canggung seolah-olah saya tidak tahu apa yang harus saya lakukan di sini,ketakutan
saya merasa seperti kartu adalah hal yang sempurna untuk dibuat dengan mereka,kegembiraan
saya merasa seperti pahlawan wanita dari beberapa manga tragis, kesedihan
saya hanya merasa lebih aman daripada bekerja paruh waktu di jam,kegembiraan
saya disergap lagi ternyata salah saya lagi saya merasa tidak berharga,kesedihan
saya merasa istimewa untuk menjadi bagian dari sesuatu yang begitu abadi dan sangat berharga bagi Tuhan Yesus Dia menumpahkan darahnya sehingga gereja seperti ini bisa ada, sukacita
saya merasa sepenuhnya tidak mampu untuk tugas di depan saya, kesedihan
saya merasa ini agak nakal memindai artikel dari majalah tetapi saya tahu bahwa begitu banyak orang akan senang membaca ini,cinta
saya melihat Anda di gundukan pitcher di berlian liga kecil kami, saya merasa sangat cemas untuk Anda karena terlihat sangat terisolasi di sana,ketakutan
saya merasa seperti saya bergabung dengan massa yang bertentangan dengan pemberontakan saya terhadap mentalitas populer ha im so gothic tapi saya merasa tenang mengetahui bahwa saya tidak membuat resolusi yang sama seperti orang lain, sukacita
saya merasa kecewa dengan okultisme jadi saya mulai merasakan hubungan yang lebih besar dengan bumi, kesedihan
saya merasa bodoh setiap kali ini terjadi,kesedihan
saya pulang dan merasa sangat buruk sehingga saya tidak bisa melakukan semua pekerjaan yang harus saya lakukan, kesedihan
Saya merasa kulit kombinasi sensitif saya yang mudah tersinggung akhirnya menemukan kecocokannya,
saya menyukainya meskipun sangat berlebihan tetapi membuat saya merasa pintar dengan asosiasi,kegembiraanjo
